id_descricao_tipo;descricao_do_tipo
12;colisão com ave
10;colisão com fauna
4;colisão com obstáculo durante a decolagem e pouso
13;colisão no solo
23;com cargas externas
7;contato anormal com a pista
18;cortante de vento / tempestade
3;excursão de pista
8;falha ou mau funcionamento de sistema / componente
1;falha ou mau funcionamento do motor
20;formação de gelo
22;gerenciamento de tráfego aéreo (atm) / serviço de comunicação navegação, ou vigilância (cns)
15;imc não intencional
14;incursão em pista
16;lost of lifting conditions en-route
5;operação a baixa altitude
19;operações no solo
2;perda de controle em voo
9;perda de controle no solo
11;perda de separação / colisão em voo
17;pouso aquém/além da pista
24;reboque de planador
21;relacionado com security
6;voo controlado contra o terreno
