id_local,municipio,uf
1,CORUMBÁ,MS
2,"RIO CLARO",RJ
3,"IPIXUNA DO PARÁ",PA
4,"ANGRA DOS REIS",RJ
5,GOIATUBA,GO
6,MANDAGUAÇU,PR
7,IRACEMA,RR
8,"CABO FRIO",RJ
9,ANAPU,PA
10,"SÃO FÉLIX DO XINGU",PA
11,VIAMÃO,RS
12,"NOVO PROGRESSO",PA
13,"CONCEIÇÃO DAS ALAGOAS",MG
14,"SÃO LOURENÇO DO SUL",RS
15,URUGUAIANA,RS
16,TIETÊ,SP
17,CUIABÁ,MT
18,"SANTA TEREZINHA",MT
19,"PORTO NACIONAL",TO
20,"RIO BRILHANTE",MS
21,DESCONHECIDO,MT
22,CONCÓRDIA,SC
23,"BELO HORIZONTE",MG
24,"CAMPO GRANDE",MS
25,BRASÍLIA,DF
26,"VILA VELHA",ES
27,ANÁPOLIS,GO
28,MACAPÁ,AP
29,UIRAMUTÃ,RR
30,"AMERICANO DO BRASIL",GO
31,IPATINGA,SP
32,SOROCABA,SP
33,PARAUAPEBAS,PA
34,"SÃO PAULO",SP
35,"BOM JESUS",PI
36,PIRACICABA,SP
37,FORTALEZA,CE
38,JAGUARÉ,ES
39,"SÃO DESIDÉRIO",BA
40,"RIO DE JANERIO",RJ
41,PACAJÁ,PA
42,CURITIBA,PR
43,BAURU,SP
44,PICOS,PI
45,SALVADOR,BA
46,"SANTA ROSA",RS
47,CATANDUVA,SP
48,QUIRINÓPOLIS,GO
49,POCONÉ,MT
50,"TANGARÁ DA SERRA",MT
51,"CAMPO MAGRO",PR
52,CURRALINHO,PA
53,"SÃO JOSÉ DO RIO PRETO",SP
54,CAJATI,SP
55,JUNDIAÍ,SP
56,SINOP,MT
57,PIRAQUARA,PR
58,TERESINA,PI
59,"SÃO JOSÉ DOS PINHAIS",PR
60,"SANTA HELENA DE GOIÁS",GO
61,MACAÚBA,MS
62,TIJUCAS,SC
63,MARINGÁ,PR
64,"SÃO MIGUEL DO IGUAÇU",PR
65,BIRITIBA-MIRIM,SP
66,IGARATINGA,MG
67,"SANTANA DO LIVRAMENTO",RS
68,MARITUBA,PA
69,"NOVA MARINGA",MT
70,RONCADOR,PR
71,"MANOEL URBANO",AC
72,"PRESIDENTE CASTELO BRANCO",PR
73,GUARÁ,SP
74,CANTÁ,RR
75,"MINAS NOVAS",MG
76,CORRENTINA,BA
77,IBITINGA,SP
78,MACATUBA,SP
79,"OURILÂNDIA DO NORTE",PA
80,DOURADOS,MS
81,QUADRA,SP
82,"SÃO JOÃO DEL REI",MG
83,GUABIRUBA,SC
84,ITIRAPINA,SP
85,UNAÍ,MG
86,FORMOSA,GO
87,"REGENTE FEIJÓ",SP
88,CAMAPUÃ,MT
89,ITUMBIARA,GO
90,CANARANA,MT
91,"RIO DE JANEIRO",RJ
92,DIVINÓPOLIS,MG
93,ARAPONGAS,PR
94,VERÍSSIMO,MG
95,PINHÃO,PR
96,BEBEDOURO,SP
97,BARREIRINHAS,MA
98,MARANGUAPE,CE
99,"BARRA DO BUGRES",MT
100,"NOVO AIRÃO",AM
101,"CRUZ ALTA",RS
102,UBATUBA,SP
103,"BOA VISTA DOS RAMOS",AM
104,FLORIANÓPOLIS,SC
105,ARACAJU,SE
106,DESCONHECIDO,SP
107,"PORTO SEGURO",BA
108,"FOZ DO IGUAÇU",PR
109,MONTENEGRO,RS
110,"PETROLINA DE GOIÁS",GO
111,"BRAGANÇA PAULISTA",SP
112,FAMA,MG
113,LENÇOIS,BA
114,ITABERÁ,SP
115,CAJAMAR,SP
116,PIRAJUÍ,SP
117,CAMPINAS,SP
118,SANTOS,SP
119,MANAUS,AM
120,REDENÇÃO,PA
121,CANDÓI,PR
122,"RIO CLARO",SP
123,"SÃO JOÃO DA BOA VISTA",SP
124,"SÃO MATEUS",ES
125,"BARRA DO RIBEIRO",RS
126,"FAZENDA SANTO INÁCIO – RS",RS
127,BARREIRAS,BA
128,"SANTA MÔNICA",PR
129,"SÃO MATEUS",MA
130,BURITIS,MG
131,"BREJINHO DE NAZARÉ",TO
132,"BOA VISTA",RR
133,TOLEDO,PR
134,ITURAMA,MG
135,"CAMPO VERDE",MT
136,FRUTAL,MG
137,"NOVA MUTUM",MT
138,VIANA,ES
139,GUARUJÁ,SP
140,GUARATINGUETÁ,SP
141,ARAQUARI,SC
142,IBIRUBÁ,RS
143,"VILA RICA",MT
144,"ALTO PARNAÍBA",MA
145,JACAREACANGA,PA
146,"SANTANA DE PARNAÍBA",SP
147,GARUVA,SC
148,VILHENA,RO
149,BLUMENAU,SC
150,"SÃO PEDRO",SP
151,QUERÊNCIA,MT
152,"TABOÃO DA SERRA",SP
153,ITABAPOANA,ES
154,ITÁPOLIS,SP
155,"NOVA CANTU",PR
156,"SANTANA DO PARNAÍBA",SP
157,COARI,AM
158,VARGINHA,MG
159,VOTUPORANGA,SP
160,CAÇU,GO
161,ILHOTA,SC
162,LÁBREA,AM
163,GOIÂNIA,GO
164,PIRASSUNUNGA,SP
165,"VÁRZEA GRANDE",MT
166,"SÃO GABRIEL DA CACHOEIRA",AM
