id_ocorrencia;numero_da_ocorrencia;data_da_ocorrencia;id_aeronave;id_descricao_tipo;id_local
1;25626;08/10/2020;1;1;1
2;25763;15/10/2020;2;2;2
3;26123;19/11/2020;3;3;3
4;26306;11/12/2020;4;4;4
5;26423;18/12/2020;5;5;5
6;27045;10/02/2021;6;1;6
7;26723;05/01/2021;7;6;7
8;27047;05/02/2021;8;7;8
9;25324;13/09/2020;9;8;4
10;25323;14/09/2020;10;3;9
11;26943;02/02/2021;11;4;10
12;26944;01/02/2021;12;1;11
13;27086;13/02/2021;13;1;12
14;27085;12/02/2021;14;1;13
15;27123;16/02/2021;12;1;14
16;25924;16/10/2020;15;9;15
17;24423;19/05/2020;16;1;16
18;25925;01/03/2020;17;1;17
19;25426;29/09/2020;18;5;18
20;26147;24/11/2020;19;8;19
21;26345;12/12/2020;6;1;20
22;26346;08/12/2020;20;5;21
23;26623;10/01/2021;21;1;22
24;26308;13/12/2020;22;3;23
25;26666;14/01/2021;23;7;24
26;24881;12/04/2019;24;3;12
27;24926;30/07/2020;8;6;25
28;26667;06/01/2021;7;2;26
29;25062;13/08/2020;25;8;27
30;25101;21/08/2020;26;1;28
31;6065;20/08/2014;22;3;29
32;26947;02/02/2021;18;4;30
33;6064;23/08/2014;19;11;24
34;11360;25/07/1998;27;4;31
35;26247;04/12/2020;28;1;32
36;11358;14/02/1997;29;9;33
37;11303;22/03/2006;30;3;34
38;26248;06/12/2020;15;7;35
39;11300;22/11/2005;31;12;36
40;11280;05/05/2020;32;8;37
41;11277;21/04/2020;33;2;38
42;27124;16/02/2021;34;2;39
43;24421;27/05/2020;35;2;40
44;24422;19/05/2020;18;5;41
45;24943;02/08/2020;36;3;42
46;24945;03/08/2020;37;9;43
47;25082;25/07/2020;38;7;44
48;24942;03/08/2020;31;8;45
49;25301;08/09/2020;39;13;46
50;26183;28/11/2020;40;3;47
51;26184;26/11/2020;41;1;23
52;26185;29/11/2020;12;9;48
53;26186;30/11/2020;42;2;49
54;24502;14/06/2020;43;8;50
55;24504;17/06/2020;36;1;51
56;24761;10/07/2020;44;3;52
57;24762;08/07/2020;45;2;34
58;24982;06/08/2020;36;3;53
59;24752;04/07/2020;46;2;54
60;25021;13/08/2020;28;3;55
61;25024;09/08/2020;47;2;56
62;25643;10/10/2020;15;4;49
63;25644;07/10/2020;48;5;57
64;25905;30/10/2020;49;8;25
65;25663;13/10/2020;50;11;17
66;25983;08/08/2019;52;8;58
67;26323;13/12/2020;53;1;59
68;26405;18/12/2020;12;1;60
69;26363;09/12/2020;54;5;61
70;26365;03/12/2020;55;14;34
71;24401;31/05/2020;11;3;62
72;25221;07/09/2020;57;3;23
73;25341;12/09/2020;58;8;63
74;25343;12/09/2020;59;1;34
75;25346;11/09/2020;36;1;43
76;26063;14/11/2020;60;1;64
77;25823;24/10/2020;61;2;65
78;25904;30/10/2020;62;3;66
79;26443;23/12/2020;12;3;67
80;26465;26/12/2020;25;1;68
81;26466;29/12/2020;6;3;5
82;26467;28/12/2020;63;9;69
83;26486;29/12/2020;64;2;70
84;26544;29/12/2020;65;8;71
85;26565;27/12/2020;17;3;72
86;26566;05/01/2021;54;1;73
87;26583;07/01/2021;66;7;74
88;24341;19/07/2009;52;8;75
89;24481;12/06/2020;18;5;76
90;24621;11/04/2020;17;16;77
91;24661;24/06/2020;67;1;65
92;24301;17/05/2020;68;2;78
93;24567;09/06/2020;22;3;79
94;24583;20/06/2020;18;2;39
95;24582;10/06/2020;22;1;80
96;24703;20/06/2020;69;1;81
97;24923;22/07/2020;70;8;82
98;24882;25/07/2020;71;1;83
99;25061;15/08/2020;72;7;84
100;25141;26/08/2020;73;8;34
101;25103;20/08/2020;15;5;39
102;25104;18/08/2020;18;5;85
103;25362;20/09/2020;74;2;86
104;25404;27/09/2020;75;12;87
105;25403;30/09/2020;13;1;88
106;25583;30/09/2020;76;11;37
107;24403;26/05/2020;77;8;89
108;26663;13/01/2021;16;7;90
109;24404;23/05/2020;78;1;23
110;24741;06/07/2020;48;2;91
111;26665;06/01/2021;28;1;92
112;24745;26/06/2020;7;9;93
113;6038;03/12/2014;79;1;94
114;6035;11/08/2014;36;9;42
115;6030;21/09/2014;80;8;95
116;6025;05/08/2014;22;7;53
117;6022;19/07/2014;37;9;96
118;6018;12/07/2014;81;13;97
119;6012;11/07/2014;82;1;98
120;5945;30/06/2014;83;7;23
121;6017;06/07/2014;84;2;99
122;6014;16/07/2014;85;1;100
123;5943;19/06/2014;37;2;101
124;5959;05/07/2014;86;1;102
125;5952;05/07/2014;87;13;103
126;5951;03/07/2014;17;8;104
127;5999;04/07/2014;89;2;105
128;5989;22/09/2014;90;1;106
129;5988;22/09/2014;91;3;107
130;5986;28/07/2014;92;8;108
131;5979;10/07/2014;36;3;109
132;5978;01/01/2015;93;13;45
133;5971;05/07/2014;94;1;110
134;5968;12/09/2014;95;9;111
135;5967;28/08/2014;10;3;7
136;6144;29/11/2014;96;1;23
137;5963;07/09/2014;97;4;50
138;6143;30/11/2014;98;3;34
139;6103;20/09/2014;7;4;112
140;6142;10/09/2014;99;1;113
141;6128;24/12/2015;34;1;114
142;6120;27/08/2014;48;2;115
143;6119;27/08/2014;100;1;116
144;6098;19/09/2014;101;4;86
145;6093;17/08/2014;102;7;25
146;6089;11/08/2014;103;7;117
147;6086;30/08/2014;64;2;42
148;6091;13/08/2014;104;2;118
149;6085;31/08/2014;105;13;63
150;6084;01/09/2014;106;8;119
151;6079;19/08/2014;17;3;120
152;6081;31/08/2014;2;2;121
153;6076;23/08/2014;107;1;37
154;6066;20/08/2014;36;3;122
155;6071;16/08/2014;108;11;123
156;6060;30/11/2014;110;2;124
157;6056;24/09/2014;36;4;125
158;6053;18/12/2014;79;4;126
159;6048;24/07/2014;111;2;127
160;6046;12/07/2014;112;9;128
161;6045;25/07/2014;8;4;12
162;11254;18/04/2020;113;1;129
163;11268;27/04/2020;114;3;119
164;11262;17/04/2020;115;1;91
165;11261;18/04/2020;34;1;130
166;11260;18/04/2020;116;6;131
